YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,MO01205,THREE RIVERS COMMUNITYC,0,6,0,0,0,0,0,0
2013,MO01300,CALDWELL,"5,953",6,0,0,0,0,0,0
2013,MO01301,BRAYMER,849,5,0,0,0,0,0,0
2013,MO01303,HAMILTON,"1,722",6,0,0,0,0,0,0
2013,MO01307,POLO,547,11,0,0,0,0,0,0
2013,MO01400,CALLAWAY,"26,595",6,0,0,0,0,0,0
2013,MO01401,AUXVASSE,980,6,0,0,0,0,0,0
2013,MO01403,FULTON,"12,713",6,0,0,0,0,0,0
2013,MO01404,NEW BLOOMFIELD,677,6,0,0,0,0,0,0
2013,MO01405,HOLTS SUMMIT,"3,401",7,0,0,0,0,0,0
2013,MO01500,CAMDEN,"35,481",5,0,0,0,0,0,0
2013,MO01501,CAMDENTON,"3,810",7,0,0,0,0,0,0
2013,MO01502,OSAGE BEACH,"4,366",5,0,0,0,0,0,0
2013,MO01506,LINN CREEK,243,6,0,0,0,0,0,0
2013,MO01600,CAPE GIRARDEAU,"24,028",5,0,0,0,0,0,0
2013,MO01601,CAPE GIRARDEAU,"38,716",6,0,0,0,0,0,0
2013,MO01602,JACKSON,"14,307",6,0,0,0,0,0,0
2013,MO01603,DELTA,440,5,0,0,0,0,0,0
2013,MO01609,SOUTHEAST MO STATE UNIVE,0,5,0,0,0,0,0,0
2013,MO01700,CARROLL,"4,697",6,0,0,0,0,0,0
2013,MO01701,CARROLLTON,"3,663",11,0,0,0,0,0,0
2013,MO01703,NORBORNE,683,7,0,0,0,0,0,0
2013,MO01800,CARTER,"4,740",6,0,0,0,0,0,0
2013,MO01801,VAN BUREN,826,12,0,0,0,0,0,0
2013,MO01802,ELLSINORE,453,5,0,0,0,0,0,0
2013,MO01803,GRANDIN,244,5,0,0,0,0,0,0
2013,MO01900,CASS,"26,172",6,0,0,0,0,0,0
2013,MO01901,ARCHIE,"1,187",6,0,0,0,0,0,0
2013,MO01902,BELTON,"23,273",7,0,0,0,0,0,0
2013,MO01903,DREXEL,960,6,0,0,0,0,0,0
2013,MO01904,HARRISONVILLE,"9,999",5,0,0,0,0,0,0
2013,MO01905,PLEASANT HILL,"8,193",6,0,0,0,0,0,0
2013,MO01906,PECULIAR,"4,852",5,0,0,0,0,0,0
